站點名稱,連結,到站時間
蘆洲總站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36021,未發車
王爺廟口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36022,未發車
空中大學(中正路),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36023,未發車
中原公寓,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36024,未發車
蘆洲國小,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36025,未發車
蘆洲監理站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36026,未發車
蘆洲派出所,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36027,未發車
溪墘,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36028,未發車488-U5
捷運徐匯中學站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36029,將到站
徐匯中學,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36030,將到站
幸福市場,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36031,3分
建和新村,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36032,3分
捷運三和國中站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=129828,4分
三和國中,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36033,5分
格致中學(三和路),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36034,5分
厚德派出所,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36036,6分
德林寺(三和路),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36038,8分
龍門路口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36039,10分
三安里,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36040,10分671-U5
長壽西街口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36041,將到站
長元西街口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36042,將到站
正義重新路口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36043,將到站
天台廣場,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36044,3分
大同路口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36045,4分
中山藝術公園,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36046,5分
捷運菜寮站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=218023,6分
過圳街,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36047,7分
三重區公所(過圳街),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36048,8分641-U5
三重稅捐分處,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36049,將到站
菜寮(重陽路),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36050,將到站929-U3
集美國小,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36051,將到站
三重國民運動中心,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36052,將到站
三重中學,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36053,4分
重安街口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36054,5分
臺北車站(忠孝),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36055,15分502-U5
捷運善導寺站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36056,將到站
華山文創園區,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36057,3分KKA-1070
忠孝國小,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36058,172-U7將到站
臺北科技大學(忠孝),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36059,將到站
正義郵局,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36060,4分
懷生國中,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36061,4分
頂好市場,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36063,7分
捷運忠孝敦化站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36064,8分
阿波羅大廈,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36065,10分
交通部觀光署,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36066,12分
捷運國父紀念館站(忠孝),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36067,13分
聯合報,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36068,14分
捷運市政府站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36069,16分
市立工農,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36070,20分
捷運永春站(忠孝),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36071,21分177-U7
捷運永春站(松山),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36072,3分
雙永國小,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36073,3分
永吉松山路口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36074,4分
松山車站(松山),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36075,5分
虎林街口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36077,8分
永吉國中,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36078,930-U3進站中
松隆路口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36079,928-U3將到站
松山高中(松隆),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36080,將到站
聯合報,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36081,6分
捷運國父紀念館站(忠孝),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36082,8分676-U5
交通部觀光署,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36083,將到站
阿波羅大廈,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36084,將到站
捷運忠孝敦化站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36085,5分
頂好市場,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36086,7分
捷運忠孝復興站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36087,10分
正義郵局,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36088,11分
臺北科技大學(忠孝),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36089,14分
忠孝國小,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36090,16分KKA-1062
華山文創園區,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36091,499-U5將到站
捷運善導寺站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36092,將到站KKA-1072642-U5
