到站時間,站序,站名,站ID,lat,lon
10分鐘,1,萬芳社區,1166500360,25.001753,121.570457
進站中,2,萬芳活動中心,1166500460,25.002436,121.569474
進站中,3,萬芳國小,1165300420,25.001037,121.5680544
進站中,4,萬芳6號公園,1165300540,24.999962,121.56892
進站中,5,萬利街口,1165400260,24.999065,121.567262
3分鐘,6,棕櫚泉社區,1169600360,24.997568,121.5625566
4分鐘,7,文山運動中心(萬芳),1169600060,24.99706,121.5603813
5分鐘,8,臺灣警察專科學校,1169800200,24.997677,121.559454
5分鐘,9,捷運萬芳醫院站,1169600260,24.999259,121.557829
7分鐘,10,中國科技大學(興隆),1169400000,25.000405,121.5557979
9分鐘,11,興隆國小,1169200360,25.001459,121.5530398
10分鐘,12,興德國小,1169200560,25.000982,121.5500736
11分鐘,13,興隆市場,1168900260,24.999584,121.5474484
12分鐘,14,靜心高中,1168700360,24.998953,121.545835
13分鐘,15,憲光公寓,1168000100,24.999719,121.5439365
14分鐘,16,景明街口,1168200060,25.001808,121.5422591
15分鐘,17,武功國小(興隆),1168100060,25.004266,121.5399955
17分鐘,18,師大分部,1167700000,25.00767,121.5384703
進站中,19,捷運公館站,1009000100,25.013993,121.535185
3分鐘,20,臺大,1067300800,25.018029,121.53375
4分鐘,21,臺大綜合體育館,1066000100,25.021405,121.5343881
8分鐘,22,溫州街口,1064400460,25.026354,121.5326938
8分鐘,23,師大綜合大樓,1064400360,25.026622,121.53006
10分鐘,24,師大,1064400260,25.026738,121.5277134
12分鐘,25,金山潮州街口,1064400100,25.028663,121.526353
13分鐘,26,公企中心,1064200000,25.03066,121.52673
14分鐘,27,捷運東門站(金山),1065000500,25.033211,121.5272129
