到站時間,站序,站名,站ID,lat,lon
進站中,1,社子國小二,1117200540,25.090017,121.5020824
進站中,2,社子國小,1117200440,25.089646,121.5028759
進站中,3,永倫里(南),1117200720,25.089298,121.504244
進站中,4,社子派出所,1117200320,25.089332,121.5056145
進站中,5,社子市場二,1117200240,25.088796,121.5081045
進站中,6,社子市場,1117200140,25.088046,121.5087166
進站中,7,福港街,1116800241,25.089884,121.517833
進站中,8,承德路四段,1116800340,25.089268,121.5204586
進站中,9,大南路口,1116700040,25.088519,121.5215607
進站中,10,圓山皇宮大廈,1116600140,25.083468,121.5233264
進站中,11,劍潭國小,1116600240,25.081056,121.5223096
進站中,12,明倫高中,1036700240,25.07344,121.5191524
進站中,13,庫倫街口,1036600040,25.071066,121.5183341
進站中,14,民族承德路口,1036500040,25.067913,121.5182673
進站中,15,大同國小,1036300040,25.064874,121.5181
進站中,16,民權中山路口,1045200220,25.062714,121.5223009
進站中,17,捷運中山國小站,1045100020,25.062668,121.5253813
進站中,18,民權吉林路口,1046800020,25.062546,121.5300637
進站中,19,捷運行天宮站(松江路),1046800240,25.060535,121.5331063
進站中,20,長春松江路口,1048500040,25.055006,121.533011
