到站時間,站序,站名,站ID,lat,lon
,1,美麗華(植福),1046600420,25.08386,121.55711
,2,治磐新村,1149300020,25.082945,121.5638416
,3,仁寶大樓,1149200020,25.079213,121.5684974
,4,瑞光港墘路口,1149200721,25.078319,121.570459
,5,瑞光路,1149100230,25.074821,121.577343
,6,麗寶大樓,1149100340,25.070391,121.582671
,7,東暖新村,2054500220,25.098787,121.755186
,8,寶祥吉祥,2244901320,25.099459,121.7585247
,9,四腳亭,2244900320,25.098772,121.7614982
,10,大寮,2245200410,25.09816,121.781998
,11,瑞興新村,2245300600,25.107855,121.788396
,12,魚桀魚坑,2244901020,25.110433,121.7938803
,13,東和里,2244200220,25.106173,121.8037843
,14,區民廣場,2244100160,25.107778,121.807937
