公車到達時間,車站序號,車站名稱,車站編號,latitude,longitude
,1,瑞湖街口,1149400220,25.067523,121.576485
,2,麗寶大樓,1149100300,25.070424,121.58271
,3,公館山,1149100000,25.071952,121.581177
,4,瑞光路,1147400070,25.074746,121.5776
,5,內湖運動中心,1144800300,25.07724,121.5755879
,6,港墘派出所,1144800100,25.0787,121.57642
,7,西湖圖書館(湖光教會),1144700020,25.078723,121.5785305
,8,湖光國宅,1147500320,25.078356,121.5815972
,9,捷運文德站(碧湖公園),1147500220,25.078401,121.5841327
,10,內湖高中,1147500020,25.078703,121.5875658
,11,方濟中學,1146000140,25.076435,121.5900771
,12,將軍嶺,1147200240,25.073372,121.58972
,13,國防醫學中心,1147200140,25.071037,121.5898699
,14,內湖行政大樓,1146600160,25.06916,121.58832
,15,三民國中,1146600060,25.06901,121.58556
,16,時報廣場,1149401060,25.06856,121.5831298
,17,民權大橋,1149400360,25.06702,121.5791
,18,新益里,1059200140,25.062286,121.566155
,19,民生國中,1059100040,25.059661,121.5679233
,20,新東街口,1058900160,25.059272,121.5663967
,21,三民路,1058200140,25.0575,121.5634
,22,三民健康路口(西松高中),1058200040,25.055245,121.5635808
,23,健康新城,1058600260,25.054217,121.5621625
,24,長壽公園,1058600160,25.054069,121.559764
,25,三軍總醫院松山分院,1056400060,25.053881,121.5578743
,26,南京新村,1057900140,25.052778,121.5568095
,27,博仁醫院,1056000040,25.04937,121.55774
,28,光復路口,1055400060,25.048151,121.5567576
,29,美仁里,1055400160,25.04821,121.553906
,30,臺視,1055900061,25.048248,121.551437
,31,市民敦化路口,1055700240,25.045271,121.548797
,32,忠孝敦化路口,1069000140,25.041865,121.5487541
,33,仁愛敦化路口,1068500140,25.039043,121.548697
,34,信義敦化路口,1068100141,25.034123,121.5485022
,35,信義大安路口,1068400060,25.033383,121.5461666
,36,捷運大安站(信義),1068400260,25.033404,121.5438266
,37,師大附中,1065800360,25.033382,121.542275
,38,信義建國路口,1065800160,25.033595,121.538468
,39,捷運大安森林公園站,1065600460,25.03355,121.5359159
,40,信義新生路口,1065600360,25.033627,121.5331327
,41,信義永康街口,1065100260,25.033765,121.5301447
,42,捷運東門站,1005700060,25.034232,121.526986
,43,信義杭州路口,1004800860,25.035417,121.5246296
,44,中正紀念堂,1004800960,25.03739,121.52056
,45,捷運台大醫院站,1004801100,25.041927,121.5163535
,46,博物館(館前),1004700200,25.044177,121.5150573
,47,臺北車站(忠孝),1004100720,25.046563,121.5156894
